Ocean,Group,Island,Native bird species,Extant Natives,Extinct historic natives,Extinct island endemic,island endemic,extinct non-endemic,non-endemic,Alien bird species,number native bird species threatened ,island area,island elevation,first colonization date,isolation,latitude,exotic mammal species,predators,herbivores,Latitude (Matched),Longitude,Population
Caribbean,L.Antilles,Barbados,32,30,1,1,7,1,25,2,0,462.4,340,5000,150,14,8,7,1,13.166667, -59.55,277821
Caribbean,Caymans,CaymanBrac,33,31,0,2,7,0,26,0,1,38,44,7000,500,18,1,1,0,19.72, -79.8,1800
Caribbean,Gt.Antilles,Cuba,145,132,2,12,58,1,87,6,12,105805.5,1974,7000,200,22,11,6,5,22, -79.5,11167325
Caribbean,L.Antilles,Dominica,51,50,1,1,23,0,28,3,4,787.3,1447,5000,150,14,3,3,0,15.416667, -61.333333,71293
Caribbean,Caymans,GrandCayman,42,41,1,1,10,0,32,0,1,196.3,21,7000,500,18,1,1,0,19.333333, -81.216667,52601
Caribbean,L.Antilles,Grenada,46,44,2,0,13,2,33,2,1,322.7,840,5000,150,14,1,1,0,12.05, -61.75,109590
Caribbean,L.Antilles,Guadeloupe,53,47,6,4,20,2,33,7,1,875.7,1467,5000,150,14,7,5,2,16.25, -61.583333,405739
Caribbean,Gt.Antilles,Hispaniola,128,124,1,4,52,0,76,9,14,73929,3175,7000,550,18,10,5,5,19, -71,18943000
Caribbean,Gt.Antilles,Jamaica,110,100,6,8,51,2,59,7,7,11189.6,2256,7000,630,17,7,6,1,18.182388, -77.321777,2889187
Caribbean,Caymans,LittleCayman,30,30,0,0,2,0,28,0,1,28,14,7000,500,18,1,1,0,19.683333, -80.05,170
Caribbean,L.Antilles,Martinique,52,48,3,3,21,1,31,9,2,1166.6,1397,5000,150,14,2,2,0,14.666667, -61,386486
Caribbean,L.Antilles,Monserrat,33,33,0,0,12,0,21,2,2,124.1,915,5000,150,14,0,0,0,16.75, -62.2,5900
Caribbean,L.Antilles,Providencia,14,14,0,0,0,0,14,0,0,.,.,5000,100,14,0,0,0,13.348889, -81.374722,5011
Caribbean,Gt.Antilles,PuertoRico,101,92,2,8,39,1,62,29,6,9099.8,1338,7000,650,17.5,5,4,1,18.45, -66.1,3667084
Caribbean,L.Antilles,Saba,29,28,1,1,11,0,18,2,0,13,870,5000,150,14,0,0,0,17.633333, -63.233333,1991
Caribbean,L.Antilles,SanAndrés,24,24,0,0,3,0,21,0,1,44,100,5000,100,13,0,0,0,12.583333, -81.7,67912
