"g2360","g2370","g2371","g2885","g2905","g2910","g2920","g2970","g2975","year","month"
160,148,148,427.5,422.5,NA,600.5,444.5,417,1979,6
117,122,122,NA,285,286,400,291,301,1979,7
90,107,107,NA,217,260,287,211,244,1979,8
98.5,112.5,112.5,293,222.5,298,304,215.5,239.5,1979,9
88,108,108,309,229,280,319,229,255,1979,10
195,169,169,340.5,378.5,343,517,335,332,1979,11
195,169,169,367,381,337,557,377,368,1979,12
429,310,310,579,802,794,990,804,716,1980,1
741,NA,487,NA,1248,NA,1381,1246,1076,1980,2
584,NA,398,NA,1494,NA,1631,1510,1303,1980,3
361.5,265,265,NA,1316,NA,1453.5,1317.5,1150.5,1980,4
229,187,187,779,810,509,996,820,780,1980,5
162,146,146,457.5,457,368,624,478,465.5,1980,6
125,126,126,350,310,317,435,322,333,1980,7
91,108,108,302,230,283,315,242,260,1980,8
80.5,105,105,284,196.5,268,264.5,204.5,232.5,1980,9
94,108,108,288,208,281,278,214,238,1980,10
184.5,162.5,162.5,305,301,303.5,414,293.5,303.5,1980,11
345,258,258,415,560,363,760,556,519,1980,12
